id_pista,fecha_carrera,numero_carrera,id_caballo,distancia,tipo_terreno,condicion_de_la_pista,distancia_en_pies,tipo_carrera,dinero_dos_decimales_USD,hora_de_carrera,peso_llevado,jockey,posibilidades_de_ganar,posicion
AQU,13/12/2019,2,6,800,D,1,54,CLM,22000,1259,125,Silvestre Gonzalez,1090,7
BEL,14/06/2019,4,6,850,I,1,54,CLM,50000,308,126,Irad Ortiz Jr.,90,1
BEL,26/06/2019,3,2,850,I,2,84,CLM,60000,238,126,Junior Alvarado,460,2
SAR,14/08/2019,1,5,1650,M,2,32,ALW,65000,1250,152,Gerard Galligan,860,2
SAR,28/08/2019,1,2,1900,M,2,0,ALW,65000,1250,152,Jack Doyle,460,3
AQU,30/03/2019,8,10,800,D,3,54,SST,60000,521,124,Victor R. Carrasco,5675,8
BEL,15/09/2019,9,9,700,T,2,117,AOC,70000,522,114,Benjamin Hernandez,1660,9
BEL,06/10/2019,4,7,800,T,2,76,AOC,70000,225,122,Rajiv Maragh,3125,8
AQU,16/02/2019,5,3,600,D,3,48,CLM,16000,300,121,Hector Rafael Diaz Jr.,40,3
AQU,12/01/2019,6,7,600,D,3,45,CLM,32000,300,121,Junior Alvarado,280,5
AQU,06/04/2019,4,17,700,D,3,44,CLM,28000,234,122,Eric Cancel,185,6
BEL,04/07/2019,3,4,800,D,3,52,CLM,28000,240,126,Dylan Davis,1060,2
SAR,25/07/2019,1,11,1650,M,2,0,STK,150000,1245,144,Gerard Galligan,1950,5
SAR,22/08/2019,1,9,1900,M,6,0,STK,150000,1250,144,Gerard Galligan,1500,5
AQU,14/12/2019,3,8,600,D,4,48,CLM,22000,128,120,Oscar Gomez,8875,6
AQU,19/01/2019,8,3,900,D,3,99,AOC,64000,400,123,Junior Alvarado,510,4
AQU,18/01/2019,4,6,800,D,3,54,CLM,57000,227,122,Junior Alvarado,480,3
AQU,16/11/2019,3,3,850,T,2,138,CLM,48000,1256,121,Junior Alvarado,2975,7
AQU,21/12/2019,2,6,800,D,3,54,CLM,50000,1259,123,Jorge A. Vargas Jr.,950,5
BEL,01/06/2019,6,6,800,T,1,166,CLM,50000,412,124,Joel Rosario,1250,8
BEL,25/10/2019,7,3,850,D,3,50,CLM,65000,441,122,Joel Rosario,2180,5
SAR,30/08/2019,9,5,900,D,3,78,CLM,70000,519,122,Manuel Franco,3250,2
BEL,27/06/2019,7,5,600,T,2,82,CLM,50000,615,123,Jose L. Ortiz,470,4
AQU,19/01/2019,8,5,900,D,3,99,AOC,64000,400,113,Heman K. Harkie,8375,7
AQU,24/02/2019,4,5,800,D,4,54,CLM,48000,225,120,Carlos J. Hernandez,920,4
AQU,19/01/2019,8,7,900,D,3,99,AOC,64000,400,123,Michael J. Luzzi,1600,2
AQU,15/03/2019,2,2,900,D,3,88,ALW,70000,205,121,Michael J. Luzzi,1390,5
AQU,17/11/2019,1,4,800,T,2,72,CLM,44000,1200,121,Joey R. Martinez,1280,6
AQU,01/12/2019,2,6,800,D,3,54,CLM,38000,1250,121,Joey R. Martinez,1560,7
BEL,07/07/2019,1,3,850,I,2,44,CLM,39000,1232,117,Heman K. Harkie,255,5
AQU,02/02/2019,8,8,800,D,3,54,AOC,64000,400,125,Rafael Manuel Hernandez,800,8
AQU,10/04/2019,3,5,800,D,3,54,CLM,46000,230,120,Michael J. Luzzi,580,6
AQU,23/03/2019,5,2,800,D,3,54,CLM,24000,400,123,Luis R. Reyes,510,3
SAR,03/08/2019,9,1,900,D,3,77,STK,1000000,546,118,Jose A. Bracho,8800,7
BEL,05/07/2019,2,3,700,T,2,90,AOC,70000,203,123,Jose Lezcano,1710,6
BEL,28/09/2019,7,7,600,I,2,102,AOC,70000,413,123,Jose Lezcano,4275,7
SAR,11/08/2019,5,9,550,T,2,54,AOC,83000,311,124,Jose Lezcano,2600,8
AQU,17/11/2019,3,2,800,D,3,54,CLM,36000,102,122,Dylan Davis,570,5
AQU,07/02/2019,8,1,800,D,5,52,CLM,16000,433,119,Carlos J. Hernandez,2170,9
AQU,16/11/2019,3,2,850,T,2,138,CLM,48000,1256,125,Luis A. Rodriguez Castro,850,9
AQU,08/12/2019,6,5,600,O,1,56,AOC,80000,218,120,Michael J. Luzzi,2700,6
AQU,09/02/2019,3,4,900,D,3,84,CLM,25000,156,121,Dylan Davis,180,6
AQU,28/02/2019,6,7,800,D,3,54,CLM,16000,334,121,Samuel Camacho Jr.,290,1
BEL,02/10/2019,4,9,850,T,2,171,CLM,50000,259,124,Luis R. Reyes,710,5
SAR,24/07/2019,1,3,1650,M,1,0,STK,75000,1250,156,Danny Mullins,830,6
AQU,03/11/2019,6,7,600,O,1,64,AOC,70000,223,120,Rajiv Maragh,5325,10
AQU,12/01/2019,6,5,600,D,3,45,CLM,32000,300,121,Hector Rafael Diaz Jr.,650,1
AQU,19/01/2019,9,9,800,D,3,54,CLM,25000,430,121,Eric Cancel,1430,3
AQU,23/02/2019,9,4,600,D,3,45,CLM,25000,457,121,Joey R. Martinez,2380,8
AQU,23/03/2019,5,7,800,D,3,54,CLM,24000,400,119,Eric Cancel,250,1
AQU,16/11/2019,1,3,800,D,3,54,CLM,28000,1200,123,Dylan Davis,1420,1
AQU,13/12/2019,2,1,800,D,1,54,CLM,22000,1259,125,Dylan Davis,35,2
SAR,12/07/2019,4,1,700,D,3,27,CLM,34000,248,122,Michael J. Luzzi,4275,3
SAR,30/08/2019,2,6,900,D,3,78,CLM,34000,134,123,Michael J. Luzzi,1500,8
BEL,19/09/2019,1,7,2000,M,2,0,STK,150000,304,142,Gerard Galligan,4825,3
AQU,22/02/2019,7,6,900,D,1,96,CLM,60000,409,120,Junior Alvarado,480,4
AQU,19/04/2019,6,1,800,D,3,54,CLM,52000,409,119,Junior Alvarado,830,6
AQU,22/11/2019,5,3,800,D,1,54,CLM,57000,248,121,Reylu Gutierrez,780,4
BEL,19/05/2019,7,8,850,I,2,70,CLM,60000,451,124,Kendrick Carmouche,2850,8
BEL,25/09/2019,5,1,850,D,3,54,CLM,43000,307,122,Manuel Franco,300,2
AQU,18/01/2019,4,4,800,D,3,54,CLM,57000,227,120,Luis A. Rodriguez Castro,1910,6
AQU,22/03/2019,3,2,800,D,4,54,CLM,46000,240,123,Ruben Silvera,1300,2
AQU,06/04/2019,5,11,850,O,2,22,CLM,48000,307,122,Ruben Silvera,6450,9
AQU,29/12/2019,1,4,800,D,3,54,CLM,36000,1231,125,Ruben Silvera,1710,4
BEL,04/05/2019,7,5,850,D,4,44,CLM,50000,312,124,Emmanuel Esquivel,395,6
BEL,18/05/2019,8,3,700,D,3,48,CLM,50000,341,123,Michael J. Luzzi,3500,7
BEL,08/09/2019,4,1,700,D,3,54,CLM,36000,233,121,Michael J. Luzzi,1730,5
AQU,12/04/2019,6,3,600,O,2,45,ALW,66000,409,124,Jose Lezcano,670,1
AQU,17/02/2019,7,5,800,D,3,54,STK,100000,410,120,Dylan Davis,2250,6
SAR,13/07/2019,11,9,800,I,1,81,CLM,52000,656,123,Jose Lezcano,850,4
AQU,30/03/2019,6,10,600,D,3,45,SST,55000,418,118,Rajiv Maragh,480,3
BEL,27/04/2019,1,5,600,D,1,64,CLM,50000,131,123,Rajiv Maragh,570,6
AQU,11/01/2019,6,6,550,D,3,60,CLM,46000,327,122,Dalton Brown,4150,7
BEL,26/05/2019,1,5,650,D,3,58,CLM,28000,130,123,Rajiv Maragh,410,5
AQU,09/02/2019,3,1,900,D,3,84,CLM,25000,156,116,Reylu Gutierrez,460,1
BEL,27/04/2019,7,7,850,D,3,45,CLM,32000,445,126,Junior Alvarado,2110,10
AQU,19/01/2019,8,1,900,D,3,99,AOC,64000,400,125,Andre Shivnarine Worrie,910,3
AQU,24/02/2019,7,6,900,D,4,92,AOC,64000,358,121,Andre Shivnarine Worrie,580,1
AQU,15/03/2019,8,1,800,D,3,54,AOC,67000,524,121,Andre Shivnarine Worrie,740,2
BEL,20/06/2019,8,1,850,D,4,36,AOC,70000,646,124,Luis R. Reyes,2725,6
SAR,12/07/2019,8,4,900,D,3,80,AOC,80000,515,125,Andre Shivnarine Worrie,1400,4
AQU,23/03/2019,1,1,800,D,3,54,CLM,24000,130,119,Dalton Brown,2370,5
BEL,28/04/2019,2,9,850,D,3,45,CLM,50000,202,121,Samuel Jimenez,2120,4
AQU,05/01/2019,5,3,650,D,4,32,AOC,75000,226,119,Michael J. Luzzi,1240,6
AQU,27/01/2019,7,5,600,D,3,45,AOC,75000,334,121,Michael J. Luzzi,2260,4
AQU,02/02/2019,7,3,600,D,3,42,CLM,20000,330,112,Heman K. Harkie,1190,4
AQU,15/03/2019,9,2,700,D,3,44,CLM,32000,555,120,Samuel Camacho Jr.,700,9
BEL,27/04/2019,7,17,850,D,3,45,CLM,32000,445,124,Dylan Davis,510,6
BEL,19/05/2019,1,5,800,D,3,52,CLM,32000,130,123,Manuel Franco,1500,2
AQU,06/04/2019,5,9,850,O,2,22,CLM,48000,307,122,Junior Alvarado,500,6
BEL,01/06/2019,6,7,800,T,1,166,CLM,50000,412,124,Jose Lezcano,275,3
SAR,14/08/2019,9,10,850,I,2,20,CLM,52000,506,123,Jose Lezcano,490,4
AQU,11/01/2019,6,3,550,D,3,60,CLM,46000,327,122,Rajiv Maragh,810,2
AQU,03/02/2019,3,7,600,D,3,34,CLM,46000,150,120,Rajiv Maragh,305,3
AQU,24/02/2019,7,1,900,D,4,92,AOC,64000,358,116,Reylu Gutierrez,620,6
SAR,07/08/2019,1,1,1650,M,2,0,STK,75000,1250,155,Gerard Galligan,135,6
SAR,19/07/2019,4,7,700,D,3,30,CLM,45000,248,124,Irad Ortiz Jr.,420,2
SAR,09/08/2019,7,5,700,D,3,32,CLM,52000,425,126,Ricardo Santana Jr.,900,1
SAR,03/08/2019,5,3,550,T,2,90,STK,200000,321,124,Kendrick Carmouche,175,3
AQU,03/11/2019,6,8,600,O,1,64,AOC,70000,223,124,Irad Ortiz Jr.,160,1
SAR,26/07/2019,8,4,550,T,6,63,AOC,83000,515,122,Irad Ortiz Jr.,300,1
SAR,24/08/2019,12,13,550,T,2,79,AOC,83000,623,124,Irad Ortiz Jr.,235,1
AQU,30/03/2019,10,3,700,D,3,44,SST,80000,624,124,Victor R. Carrasco,1290,5
SAR,02/08/2019,5,10,900,D,3,77,CLM,34000,326,123,Ricardo Santana Jr.,4425,4
AQU,12/01/2019,7,9,800,D,3,54,ALW,70000,331,118,Reylu Gutierrez,1710,10
AQU,15/03/2019,8,7,800,D,3,54,AOC,67000,524,119,Jose Lezcano,305,4
AQU,05/04/2019,7,7,800,D,3,54,AOC,70000,443,120,Junior Alvarado,560,6
BEL,28/04/2019,2,4,850,D,3,45,CLM,50000,202,120,Junior Alvarado,120,1
BEL,20/06/2019,8,3,850,D,4,36,AOC,70000,646,122,Junior Alvarado,380,3
SAR,03/08/2019,2,7,900,D,3,78,ALW,92000,136,125,Manuel Franco,1620,9
AQU,04/01/2019,6,7,800,D,3,54,CLM,32000,331,112,Benjamin Hernandez,1500,4
AQU,09/02/2019,3,5,900,D,3,84,CLM,25000,156,121,Manuel Franco,385,4
AQU,22/02/2019,6,7,800,D,1,54,CLM,40000,333,119,Luis R. Reyes,5075,6
AQU,02/11/2019,5,3,600,D,3,40,CLM,28000,207,115,Heman K. Harkie,3825,5
AQU,06/04/2019,9,3,700,D,3,40,STK,400000,522,117,Eric Cancel,2950,5
AQU,08/11/2019,6,7,650,D,3,44,WCL,57000,249,120,Jose Lezcano,130,3
BEL,28/06/2019,8,8,600,I,2,102,AOC,87000,523,121,Irad Ortiz Jr.,480,6
BEL,02/10/2019,6,6,700,D,3,45,CLM,55000,405,121,Jose Lezcano,240,2
SAR,16/08/2019,5,2,600,D,3,55,AOC,95000,311,122,Irad Ortiz Jr.,420,6
SAR,28/08/2019,1,7,1900,M,2,0,ALW,65000,1250,152,Sean McDermott,1920,7
SAR,21/07/2019,1,7,1650,M,2,0,ALW,65000,1220,148,Michael Mitchell,315,7
SAR,14/08/2019,1,8,1650,M,2,32,ALW,65000,1250,148,Michael Mitchell,540,8
AQU,08/12/2019,6,10,600,O,1,56,AOC,80000,218,115,Julio Correa,7900,8
BEL,27/04/2019,3,4,700,D,3,48,AOC,85000,234,121,Manuel Franco,540,5
BEL,15/09/2019,9,4,700,T,2,117,AOC,70000,522,125,Jose L. Ortiz,140,6
AQU,02/03/2019,2,6,600,D,3,45,STR,55000,128,112,Heman K. Harkie,5775,5
AQU,23/11/2019,3,4,850,T,1,162,ALW,66000,1255,122,Keivan Serrano,12150,11
BEL,14/06/2019,9,3,850,T,1,54,ALW,66000,553,117,Joey R. Martinez,8475,6
BEL,22/06/2019,7,5,850,I,1,75,STR,55000,447,117,Heman K. Harkie,5700,6
BEL,03/07/2019,4,9,600,T,2,156,CLM,55000,308,123,Rajiv Maragh,3075,8
AQU,30/03/2019,1,3,700,D,3,44,SST,45000,130,122,Kendrick Carmouche,275,4
SAR,04/08/2019,2,5,650,D,3,72,CLM,34000,136,124,Dylan Davis,420,5
BEL,27/06/2019,7,6,600,T,2,82,CLM,50000,615,123,Kendrick Carmouche,275,7
AQU,23/02/2019,3,2,700,D,3,44,AOC,67000,151,112,Benjamin Hernandez,590,4
BEL,19/09/2019,6,2,850,D,3,45,AOC,70000,537,122,Manuel Franco,620,7
AQU,12/01/2019,6,8,600,D,3,45,CLM,32000,300,121,Michael J. Luzzi,580,6
AQU,02/02/2019,3,3,650,D,3,34,CLM,32000,121,121,Eric Cancel,970,5
AQU,11/04/2019,7,9,650,D,3,38,CLM,36000,442,120,Harry Hernandez,3025,6
AQU,11/11/2019,3,6,700,D,3,45,CLM,32000,1255,114,Heman K. Harkie,4075,7
AQU,07/12/2019,3,6,700,D,3,48,CLM,40000,1230,119,Samuel Camacho Jr.,9850,8
BEL,01/06/2019,3,6,850,D,3,44,CLM,36000,235,124,Joel Rosario,620,5
BEL,13/06/2019,3,4,600,D,4,72,CLM,32000,410,123,Jose Lezcano,520,2
BEL,20/06/2019,1,3,800,D,5,52,CLM,50000,305,123,Jose Lezcano,830,5
BEL,10/05/2019,3,2,700,D,3,40,CLM,43000,235,123,Dylan Davis,600,3
BEL,27/06/2019,7,17,600,T,2,82,CLM,50000,615,123,Joel Rosario,570,5
BEL,04/10/2019,4,7,650,D,5,48,CLM,32000,259,121,Kendrick Carmouche,570,6
SAR,19/07/2019,4,2,700,D,3,30,CLM,45000,248,122,Dylan Davis,1780,5
SAR,25/08/2019,6,9,600,D,3,48,CLM,34000,343,122,Joel Rosario,910,2
AQU,23/11/2019,5,7,600,O,1,58,CLM,48000,152,120,Irad Ortiz Jr.,295,9
BEL,19/05/2019,7,10,850,I,2,70,CLM,60000,451,124,Luis Saez,2380,2
BEL,08/06/2019,12,7,900,I,2,72,AOC,95000,728,122,Irad Ortiz Jr.,980,6
BEL,23/05/2019,9,18,850,D,4,46,CLM,50000,727,124,Dylan Davis,200,2
BEL,19/10/2019,6,4,650,D,3,56,STK,150000,308,120,Irad Ortiz Jr.,660,2
SAR,04/08/2019,3,7,650,D,3,72,STK,100000,210,122,Jose Lezcano,335,5
AQU,16/02/2019,5,6,600,D,3,48,CLM,16000,300,119,Andre Shivnarine Worrie,1890,5
SAR,02/08/2019,4,1,800,I,2,117,AOC,83000,248,122,Jose Lezcano,150,1
AQU,13/01/2019,5,5,600,D,3,48,CLM,28000,259,125,Hector Rafael Diaz Jr.,2900,9
AQU,22/02/2019,8,4,600,D,1,44,CLM,28000,440,120,Carlos J. Hernandez,9125,8
AQU,19/04/2019,2,2,700,D,3,44,CLM,28000,200,119,Samuel Jimenez,2100,5
AQU,19/04/2019,7,8,600,O,2,58,CLM,62000,442,120,Silvestre Gonzalez,2240,4
AQU,25/01/2019,5,8,800,D,1,52,CLM,20000,227,120,Reylu Gutierrez,90,1
AQU,10/03/2019,4,2,800,D,4,54,CLM,32000,306,123,Rajiv Maragh,230,2
AQU,19/04/2019,2,4,700,D,3,44,CLM,28000,200,121,Dylan Davis,30,1
BEL,09/05/2019,6,10,600,D,3,60,CLM,32000,545,123,Dylan Davis,1280,5
AQU,19/01/2019,5,5,700,D,3,40,STK,100000,229,120,Jose Lezcano,510,1
AQU,07/02/2019,7,4,800,D,5,52,AOC,80000,359,124,Jose Lezcano,295,2
AQU,30/03/2019,9,10,1100,D,3,32,SST,75000,552,124,Andre Shivnarine Worrie,880,7
AQU,09/03/2019,8,1,600,D,3,45,STK,200000,409,120,Manuel Franco,890,2
AQU,12/04/2019,6,5,600,O,2,45,ALW,66000,409,117,Joey R. Martinez,5250,7
AQU,01/11/2019,8,6,800,D,3,54,ALW,66000,344,116,Joey R. Martinez,2650,5
AQU,07/11/2019,5,9,600,O,2,56,STR,55000,220,116,Joey R. Martinez,7650,9
BEL,18/05/2019,7,13,800,T,1,108,ALW,66000,310,124,Samuel Jimenez,9550,10
BEL,12/09/2019,1,7,850,I,2,63,CLM,50000,302,115,Joey R. Martinez,5675,5
BEL,29/09/2019,1,6,700,T,2,90,CLM,55000,101,114,Joey R. Martinez,5200,4
SAR,15/08/2019,1,7,850,T,2,96,CLM,52000,102,116,Joey R. Martinez,4400,6
AQU,09/02/2019,2,2,700,D,3,44,CLM,20000,124,121,Dylan Davis,1620,2
BEL,15/09/2019,10,11,600,I,2,175,CLM,50000,557,114,Joey R. Martinez,2650,8
SAR,27/07/2019,3,12,550,T,1,74,CLM,52000,210,122,Joe Bravo,1820,7
AQU,23/11/2019,4,2,650,D,3,54,CLM,28000,123,115,Heman K. Harkie,5125,6
AQU,24/02/2019,6,6,700,D,4,52,AOC,75000,330,119,Dylan Davis,500,5
BEL,10/05/2019,3,4,700,D,3,40,CLM,43000,235,123,Silvestre Gonzalez,2425,4
AQU,01/01/2019,4,6,900,D,5,101,AOC,80000,150,124,John R. Velazquez,255,3
AQU,07/02/2019,7,2,800,D,5,52,AOC,80000,359,124,Luis R. Reyes,1680,6
AQU,03/11/2019,7,5,800,D,3,54,AOC,80000,253,120,Manuel Franco,240,1
BEL,27/04/2019,7,4,850,D,3,45,CLM,32000,445,124,Harry Hernandez,5375,5
AQU,24/11/2019,3,11,800,D,4,54,AOC,85000,117,122,Manuel Franco,295,1
AQU,21/12/2019,8,5,900,D,3,92,STK,125000,355,125,Jose Lezcano,470,4
BEL,02/05/2019,8,1,700,D,3,46,AOC,87000,518,118,Manuel Franco,1530,2
BEL,03/10/2019,7,2,850,D,4,52,AOC,85000,440,122,Manuel Franco,355,5
SAR,09/08/2019,5,4,900,D,3,76,AOC,95000,321,122,Manuel Franco,2650,4
BEL,12/05/2019,1,2,700,D,4,36,CLM,28000,132,123,Joel Rosario,780,1
BEL,23/05/2019,9,6,850,D,4,46,CLM,50000,727,124,Joel Rosario,390,3
BEL,23/10/2019,3,6,850,D,5,48,CLM,32000,223,115,Heman K. Harkie,2575,6
SAR,18/08/2019,2,4,700,D,1,32,CLM,38000,134,124,Michael J. Luzzi,2600,6
AQU,04/01/2019,5,5,900,D,3,72,CLM,46000,300,120,Manuel Franco,460,6
AQU,26/01/2019,9,6,800,D,3,54,CLM,40000,420,121,Dylan Davis,1120,4
AQU,11/04/2019,7,7,650,D,3,38,CLM,36000,442,120,Dylan Davis,760,2
BEL,31/05/2019,9,3,600,D,3,54,CLM,50000,551,123,Dylan Davis,730,2
AQU,02/11/2019,3,3,850,T,1,88,AOC,70000,100,125,Jose Lezcano,335,4
AQU,15/11/2019,9,5,800,T,2,72,CLM,57000,354,121,Jose Lezcano,310,3
BEL,26/06/2019,3,3,850,I,2,84,CLM,60000,238,124,Luis Saez,510,6
BEL,02/10/2019,4,2,850,T,2,171,CLM,50000,259,124,Jose Lezcano,530,1
SAR,10/08/2019,1,5,850,I,2,32,CLM,52000,100,123,Jose Lezcano,250,1
AQU,04/01/2019,7,17,900,D,3,98,AOC,67000,359,119,Andre Shivnarine Worrie,2050,4
AQU,15/03/2019,2,5,900,D,3,88,ALW,70000,205,116,Benjamin Hernandez,2550,3
AQU,30/03/2019,9,2,1100,D,3,32,SST,75000,552,124,Rajiv Maragh,3000,2
AQU,05/01/2019,5,4,650,D,4,32,AOC,75000,226,119,Jose Lezcano,315,1
AQU,18/02/2019,8,7,600,D,3,54,STK,100000,430,122,Jose Lezcano,150,3
AQU,30/12/2019,7,4,600,D,4,45,ALW,82000,328,122,Jose Lezcano,480,2
BEL,26/04/2019,8,6,600,D,4,63,STK,100000,541,124,Jose Lezcano,390,2
BEL,14/09/2019,3,3,650,D,3,48,AOC,85000,205,123,Jose Lezcano,345,3
AQU,03/11/2019,3,1,650,D,3,38,CLM,48000,1257,124,Luis R. Reyes,650,5
BEL,02/10/2019,6,5,700,D,3,45,CLM,55000,405,123,Luis Saez,640,6
SAR,29/08/2019,8,2,600,D,3,48,SOC,70000,446,125,Manuel Franco,2260,6
AQU,02/02/2019,7,6,600,D,3,42,CLM,20000,330,121,Dylan Davis,2130,5
SAR,24/07/2019,1,2,1650,M,1,0,STK,75000,1250,153,Ross Geraghty,375,3
BEL,19/09/2019,1,3,2000,M,2,0,STK,150000,304,144,Ross Geraghty,1760,1
AQU,30/03/2019,6,3,600,D,3,45,SST,55000,418,118,Carlos J. Hernandez,9100,8
AQU,02/02/2019,6,5,800,D,3,54,AOC,75000,300,121,Jose Lezcano,510,3
AQU,23/02/2019,7,5,700,D,3,44,AOC,75000,357,119,Jose Lezcano,120,3
BEL,28/04/2019,6,3,800,T,6,112,AOC,70000,412,122,Manuel Franco,550,3
BEL,12/06/2019,8,2,700,T,2,126,AOC,70000,518,121,Manuel Franco,315,4
AQU,31/12/2019,4,7,650,D,4,50,CLM,46000,203,120,Eric Cancel,540,6
AQU,15/11/2019,7,7,600,O,2,45,CLM,48000,256,120,Hector Rafael Diaz Jr.,7325,10
BEL,17/05/2019,3,10,600,I,1,138,CLM,55000,231,123,Kendrick Carmouche,1530,4
BEL,03/07/2019,4,8,600,T,2,156,CLM,55000,308,123,Kendrick Carmouche,670,3
AQU,25/01/2019,2,5,600,D,5,45,AOC,67000,1256,123,Eric Cancel,980,6
AQU,08/02/2019,3,4,600,D,4,48,CLM,46000,156,121,Dylan Davis,175,4
SAR,28/07/2019,6,2,900,D,3,78,CLM,65000,346,123,Luis Saez,660,6
BEL,08/06/2019,13,4,1200,D,3,78,STK,400000,800,116,Irad Ortiz Jr.,470,8
AQU,26/01/2019,9,8,800,D,3,54,CLM,40000,420,123,Luis R. Reyes,5075,8
AQU,06/04/2019,5,6,850,O,2,22,CLM,48000,307,115,Benjamin Hernandez,5150,7
BEL,04/05/2019,7,11,850,D,4,44,CLM,50000,312,124,Samuel Camacho Jr.,1260,7
BEL,04/10/2019,4,8,650,D,5,48,CLM,32000,259,123,Dylan Davis,960,8
SAR,18/08/2019,7,6,550,D,3,44,CLM,52000,428,122,Junior Alvarado,540,1
AQU,12/01/2019,8,5,700,D,3,45,STK,100000,402,121,David Cohen,1730,6
AQU,19/01/2019,7,1,600,D,3,36,CLM,46000,330,121,Eric Cancel,940,4
AQU,16/03/2019,6,7,700,D,3,44,CLM,28000,433,120,Hector Rafael Diaz Jr.,11975,8
AQU,31/03/2019,5,5,800,D,1,54,CLM,28000,357,121,Samuel Camacho Jr.,1020,6
AQU,30/11/2019,7,2,600,O,1,52,STK,125000,249,120,Silvestre Gonzalez,6400,6
SAR,14/08/2019,9,9,850,I,2,20,CLM,52000,506,125,Luis Saez,375,5
AQU,12/01/2019,2,2,550,D,3,54,CLM,32000,100,114,Joey R. Martinez,3275,6
AQU,07/12/2019,4,1,600,O,6,56,STK,125000,103,125,Javier Castellano,1030,2
BEL,06/10/2019,4,12,800,T,2,76,AOC,70000,225,122,Irad Ortiz Jr.,215,1
SAR,10/08/2019,1,2,850,I,2,32,CLM,52000,100,123,Joel Rosario,165,2
AQU,13/04/2019,5,1,650,D,5,38,CLM,48000,337,113,Benjamin Hernandez,440,5
BEL,16/06/2019,7,4,850,D,3,48,AOC,87000,445,118,John R. Velazquez,185,5
BEL,04/05/2019,3,2,600,D,4,48,CLM,36000,108,123,Reylu Gutierrez,430,6
BEL,30/06/2019,3,3,650,D,3,54,CLM,36000,234,123,Luis Saez,1160,6
AQU,06/04/2019,5,10,850,O,2,22,CLM,48000,307,120,Jose Lezcano,550,3
AQU,21/11/2019,6,1,850,O,1,41,CLM,46000,319,124,Jose Lezcano,265,1
BEL,09/06/2019,6,9,600,I,2,112,CLM,60000,412,125,Jose Lezcano,460,3
BEL,07/07/2019,7,7,700,T,2,90,AOC,70000,347,123,Jose Lezcano,285,5
AQU,07/12/2019,3,7,700,D,3,48,CLM,40000,1230,124,Reylu Gutierrez,910,5
SAR,21/07/2019,10,9,700,D,3,30,AOC,95000,543,122,Jose L. Ortiz,400,8
AQU,17/04/2019,5,5,600,D,3,48,CLM,48000,336,120,Harry Hernandez,4625,5
BEL,10/05/2019,3,6,700,D,3,40,CLM,43000,235,123,Eric Cancel,1270,6
BEL,27/06/2019,5,4,600,D,3,63,CLM,50000,510,116,Joey R. Martinez,2925,1
BEL,05/07/2019,5,2,600,D,3,54,STR,55000,340,118,Joey R. Martinez,1150,4
SAR,14/08/2019,3,7,600,D,3,48,CLM,38000,154,117,Joey R. Martinez,1720,7
BEL,05/07/2019,2,2,700,T,2,90,AOC,70000,203,121,Manuel Franco,500,1
BEL,13/09/2019,5,5,800,T,2,110,ALW,77000,508,124,Manuel Franco,690,4
BEL,19/10/2019,9,2,850,I,2,76,STK,200000,448,121,Dylan Davis,4550,6
BEL,08/06/2019,6,2,600,T,2,85,STK,400000,243,120,Joel Rosario,1320,2
AQU,01/02/2019,1,4,600,D,3,48,CLM,57000,1250,124,Rafael Manuel Hernandez,165,2
AQU,03/03/2019,7,8,600,D,3,48,STR,55000,357,121,Rajiv Maragh,560,8
